id,name
UCSB_EEMB 2LL,UCSB_Introductory Biology Laboratory II (1.50)
SMCC_CHEM 10,SMCC_Introductory General Chemistry (5.00)
BUTTE_DFT 12,BUTTE_Beginning AutoCAD Drafting (3.00)
RCC_ETS 8,RCC_Introduction to Black Feminism (3.00)
SBVC_ARCH 112,SBVC_Environmental Design (4.00)
SMCC_FILM 5,SMCC_Film and Society (3.00)
COPPER_TA 002,COPPER_Acting I (3.00)
NAPA_PHIL 131,NAPA_Introduction to Logic and Critical Thinking (3.00)
VENTURA_ENGR V01,VENTURA_Introduction to Engineering (3.00)
RSC_EDUC 201,RSC_Introduction to Education (3.00)
CUYAMACA_COMM 122,CUYAMACA_Public Speaking (3.00)
SBCC_ANTH 109,SBCC_Comparative World Cultures (3.00)
SCC_ART 312,SCC_Portrait Drawing (3.00)
DAC_ITAL 1,DAC_Elementary Italian (First Quarter) (5.00)
DAC_INTL 21,DAC_History of Art: Native Arts of Mesoamerica and the Andes (4.00)
POSITAS_MUS 8B,POSITAS_Music Theory and Musicianship 2 (4.00)
VENTURA_GEOG V22,VENTURA_Fundamentals of Mapping and Geographic Information Systems (3.00)
CAMINO_ART 160,CAMINO_Three-Dimensional Design (3.00)
FRESNO_ART 6,FRESNO_Art History Renaissance to Modern (3.00)
SFCITY_CS 111C,SFCITY_Data Structures and Algorithms: Java (4.00)
SADDLBK_ASTR 20,SADDLBK_General Astronomy (3.00)
MONTEREY_THEA 35C,MONTEREY_Musical Theatre Production - Opera/Operetta (3.00)
CITRUS_HIST 108H,CITRUS_History of the United States from 1877 - Honors (3.00)
CERRITOS_HIST 260,CERRITOS_Survey of the History of Asia (3.00)
CRC_ART 402,CRC_Beginning Clay Sculpture (3.00)
PALOVRDE_GGR 101,PALOVRDE_Physical Geography (4.00)
CABRILLO_ART 34A,CABRILLO_Sculpture: Direct Processes I (3.00)
WVC_FRNC 001A,WVC_Beginning French (5.00)
MONTEREY_ENGL 51,MONTEREY_Fiction Writing (3.00)
EVERGRN_ART 055A,EVERGRN_Life Drawing I (3.00)
CYPRESS_PHIL 105 C,CYPRESS_World Religions (3.00)
FEATHER_GEOL 102,FEATHER_Physical Geology (4.00)
PALOMAR_ENGR 245,PALOMAR_Properties of Materials (4.00)
MERCED_MUSG -14,MERCED_American Popular Music History (3.00)
PASADENA_MATH 010H,PASADENA_Honors Linear Algebra and Applications (4.00)
BAKERFLD_GEOL B11L,BAKERFLD_Historical Geology Laboratory (1.00)
CUESTA_ENGR 252B,CUESTA_Strength of Materials II (2.00)
MIRACSTA_MAT 135,MIRACSTA_Graphic Design 1: Principles (3.00)
MISSION_CHM 002,MISSION_Introductory Chemistry (3.00)
SFCITY_DANC 155B,SFCITY_Intermediate Salsa and Other Latin Dances (1.00)
CLOVIS_HIST 23,CLOVIS_World History II. Since 1500 (3.00)
SJDELTA_DRAMA 22A,SJDELTA_Stage Lighting I (3.00)
ARC_ANTH 481,ARC_Honors Cultural Anthropology (3.00)
FULLRTON_ARTH 130 F,FULLRTON_Global Contemporary Art History (3.00)
CRC_MUFHL 412,CRC_Music Theory III (3.00)
MEDANOS_PHYS 15,MEDANOS_Introduction to Physics (4.00)
UCI_EDUC 10,UCI_Educational Research Design (4.00)
UCD_COM 025,UCD_Ethnic Minority Writers in World Literature (4.00)
